City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
204,Zhanakorgan,KZ,43.9098,67.2495,39.94,93,100,4.56,overcast clouds
205,Sampit,ID,-2.5333,112.95,74.7,98,100,2.57,overcast clouds
206,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,67,40,27.04,scattered clouds
207,Gusau,NG,12.1628,6.6614,80.71,15,40,8.61,scattered clouds
208,Olafsvik,IS,64.8945,-23.7142,41.41,92,100,17.13,overcast clouds
209,Manta,EC,-0.95,-80.7333,76.78,83,90,3.44,light rain
210,Juneau,US,58.3019,-134.4197,27.21,95,100,8.1,light snow
211,Oranjemund,NA,-28.55,16.4333,63.63,85,3,11.7,clear sky
212,Preeceville,CA,51.95,-102.6677,19.4,93,84,6.02,broken clouds
213,Severo-Kurilsk,RU,50.6789,156.125,33.03,96,100,13.73,light snow
214,Iquique,CL,-20.2208,-70.1431,69.84,75,51,7.56,broken clouds
215,Lavrentiya,RU,65.5833,-171.0,-13.09,83,2,4.63,clear sky
216,Bani Walid,LY,31.7566,13.9942,53.1,58,19,11.27,few clouds
217,Srednekolymsk,RU,67.45,153.6833,-43.53,99,97,3.42,overcast clouds
218,Malakal,SS,9.5334,31.6605,83.5,23,78,5.75,broken clouds
219,Marsa Matruh,EG,31.3525,27.2453,63.21,34,100,3.49,overcast clouds
220,Agadez,NE,19.75,10.25,66.51,10,7,6.6,clear sky
221,Bukama,CD,-9.2,25.85,68.99,97,99,0.6,moderate rain
222,Pudozh,RU,61.8099,36.5345,16.12,96,100,5.61,light snow
223,Sungaipenuh,ID,-2.0833,101.3833,64.72,97,100,2.62,moderate rain
224,Sosnovo-Ozerskoye,RU,52.5249,111.5418,7.93,85,100,12.06,overcast clouds
225,Zhoucun,CN,36.8167,117.8167,29.26,41,0,2.95,clear sky
226,Aden,YE,12.7794,45.0367,79.29,64,0,15.1,clear sky
227,Sugar Land,US,29.6197,-95.6349,59.29,51,1,0.0,clear sky
228,Cootamundra,AU,-34.65,148.0333,55.94,82,0,5.95,clear sky
229,Sao Filipe,CV,14.8961,-24.4956,75.65,69,20,9.95,few clouds
230,Stromness,GB,58.965,-3.296,46.65,74,100,18.5,overcast clouds
231,Kazachinskoye,RU,57.6953,93.2761,5.31,96,100,4.79,overcast clouds
232,Erenhot,CN,43.6475,111.9767,15.58,60,0,15.12,clear sky
233,Kangavar,IR,34.5043,47.9653,44.56,25,0,1.63,clear sky
234,Requena,ES,39.4883,-1.1004,51.13,77,4,3.0,clear sky
235,Warrington,GB,53.3925,-2.5802,54.86,91,20,1.99,few clouds
236,Tecolutla,MX,20.4833,-97.0167,66.06,53,100,10.47,overcast clouds
237,Matamoros,MX,25.5333,-103.25,65.1,29,20,0.0,few clouds
238,Khor,RU,47.8861,134.9464,9.54,92,100,13.15,overcast clouds
239,Nanortalik,GL,60.1432,-45.2371,22.24,79,53,9.93,broken clouds
240,Ponta Delgada,PT,37.7333,-25.6667,59.72,72,40,12.66,scattered clouds
241,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,80,77,18.41,broken clouds
242,Castlegar,CA,49.2998,-117.6689,39.88,96,99,3.58,overcast clouds
243,Muros,ES,42.7762,-9.0603,58.84,91,33,4.29,scattered clouds
244,Flinders,AU,-34.5833,150.8552,61.21,87,50,6.26,scattered clouds
245,Trinidad,BO,-14.8333,-64.9,82.38,89,75,16.11,broken clouds
246,Sloboda,RU,51.1421,40.3021,26.69,57,21,11.05,few clouds
247,Eston,CA,51.1501,-108.7514,28.29,68,25,18.95,scattered clouds
248,Barrow,US,71.2906,-156.7887,-9.38,70,1,13.8,clear sky
249,Camacha,PT,33.0833,-16.3333,64.53,94,75,4.61,broken clouds
250,Saint George,US,37.1041,-113.5841,52.54,53,1,1.99,clear sky
251,Lepaterique,HN,14.0667,-87.4667,71.2,42,3,9.95,clear sky
252,Thunder Bay,CA,48.4001,-89.3168,39.56,60,1,12.66,clear sky
253,Moriyama,JP,35.0667,135.9833,50.63,76,99,5.01,overcast clouds
254,Teguise,ES,29.0605,-13.564,62.82,82,0,11.5,clear sky
255,Mutoko,ZW,-17.397,32.2268,73.22,36,5,4.81,clear sky
256,Charlestown,AU,-32.95,151.6667,62.73,81,62,3.0,broken clouds
257,Togitsu,JP,32.8333,129.85,47.19,69,12,13.38,few clouds
258,Terra Nova,BR,-12.3667,-40.6667,80.2,61,95,6.51,overcast clouds
259,Athens,GR,37.9795,23.7162,60.17,66,20,1.01,few clouds
